"Ano","Trimestre","UF","V1022","V2007","V2009","V2010","VD2003","VD3005","VD4016"
"2021","1","Espírito Santo","Urbana","Mulher",47,"Branca",4,"16 anos ou mais de estudo",3000
"2021","1","Rio de Janeiro","Urbana","Homem",45,"Preta",3,"12 anos de estudo",1000
"2021","1","Alagoas","Urbana","Homem",49,"Preta",5,"4 anos de estudo",NA
"2021","1","Paraíba","Urbana","Mulher",15,"Parda",3,"9 anos de estudo",NA
"2021","1","Sergipe","Urbana","Homem",28,"Parda",4,"6 anos de estudo",1100
"2021","1","Amazonas","Urbana","Homem",8,"Parda",4,"2 anos de estudo",NA
"2021","1","Mato Grosso","Urbana","Mulher",20,"Parda",5,"12 anos de estudo",NA
"2021","1","Roraima","Rural","Mulher",42,"Parda",7,"16 anos ou mais de estudo",3200
"2021","1","Minas Gerais","Urbana","Homem",7,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Distrito Federal","Urbana","Mulher",67,"Preta",2,"16 anos ou mais de estudo",NA
"2021","1","Goiás","Urbana","Mulher",59,"Branca",2,"10 anos de estudo",NA
"2021","1","Pernambuco","Urbana","Mulher",42,"Parda",3,"8 anos de estudo",1600
"2021","1","Rio Grande do Sul","Urbana","Mulher",34,"Branca",5,"12 anos de estudo",1100
"2021","1","Espírito Santo","Urbana","Homem",61,"Branca",3,"15 anos de estudo",3000
"2021","1","Santa Catarina","Urbana","Homem",56,"Preta",4,"12 anos de estudo",NA
"2021","1","Rio de Janeiro","Urbana","Mulher",66,"Branca",3,"12 anos de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Mulher",44,"Branca",3,"12 anos de estudo",1045
"2021","1","São Paulo","Urbana","Mulher",57,"Branca",3,"5 anos de estudo",NA
"2021","1","Ceará","Urbana","Homem",69,"Branca",2,"12 anos de estudo",1100
"2021","1","Espírito Santo","Urbana","Mulher",37,"Branca",2,"11 anos de estudo",1400
